,Anio,Nomcultivo,totalsin,,,,,,,,
1,2000,Ajonjoli,181,,,,,,,,
2,2000,Arroz palay,630,,,,,,,,
3,2000,Avena forrajera en verde,25,,,,,,,,
4,2000,Cacahuate,48,,,,,,,,
5,2000,Cebada grano,2,,,,,,,,
6,2000,Chile seco,203,,,,,,,,
7,2000,Chile verde,55,,,,,,,,
8,2000,Frijol,2033,,,,,,,,
9,2000,Maiz forrajero en verde,67,,,,,,,,
10,2000,Maiz grano,1010,,,,,,,,
11,2000,Melon,5,,,,,,,,
12,2000,Papa,5,,,,,,,,
13,2000,Sandia,15,,,,,,,,
14,2000,Sorgo forrajero en verde,20,,,,,,,,
15,2000,Sorgo grano,51,,,,,,,,
16,2000,Trigo grano,427,,,,,,,,
17,2001,Ajonjoli,91,,,,,,,,
18,2001,Arroz palay,95,,,,,,,,
19,2001,Avena forrajera en verde,7,,,,,,,,
20,2001,Cacahuate,109,,,,,,,,
21,2001,Chile verde,4,,,,,,,,
22,2001,Frijol,84,,,,,,,,
23,2001,Maiz forrajero en verde,4,,,,,,,,
24,2001,Maiz grano,2687.5,,,,,,,,
25,2001,Melon,25,,,,,,,,
26,2001,Sandia,40,,,,,,,,
27,2001,Sorgo forrajero en verde,5,,,,,,,,
28,2001,Sorgo grano,94,,,,,,,,
29,2002,Ajonjoli,2035,,,,,,,,
30,2002,Alpiste,9,,,,,,,,
31,2002,Arroz palay,249,,,,,,,,
32,2002,Avena forrajera en verde,35,,,,,,,,
33,2002,Cacahuate,25,,,,,,,,
34,2002,Chile verde,33,,,,,,,,
35,2002,Frijol,6975,,,,,,,,
36,2002,Maiz forrajero en verde,30,,,,,,,,
37,2002,Maiz grano,7117.55,,,,,,,,
38,2002,Melon,5,,,,,,,,
39,2002,Sandia,5,,,,,,,,
40,2002,Sorgo grano,1513,,,,,,,,
41,2002,Trigo grano,1742.5,,,,,,,,
42,2003,Ajonjoli,610,,,,,,,,
43,2003,Alpiste,169,,,,,,,,
44,2003,Arroz palay,60,,,,,,,,
45,2003,Avena forrajera en verde,35,,,,,,,,
46,2003,Cacahuate,6,,,,,,,,
47,2003,Chicharo,5,,,,,,,,
48,2003,Chile seco,75,,,,,,,,
49,2003,Chile verde,128,,,,,,,,
50,2003,Frijol,4408.25,,,,,,,,
51,2003,Maiz forrajero en verde,12,,,,,,,,
52,2003,Maiz grano,5309.5,,,,,,,,
53,2003,Melon,25,,,,,,,,
54,2003,Sandia,174,,,,,,,,
55,2003,Sorgo forrajero en verde,18,,,,,,,,
56,2003,Sorgo grano,2225,,,,,,,,
57,2003,Tomate rojo (jitomate),40,,,,,,,,
58,2003,Trigo grano,1743,,,,,,,,
59,2004,Ajonjoli,620,,,,,,,,
60,2004,Alpiste,15,,,,,,,,
61,2004,Arroz palay,100,,,,,,,,
62,2004,Avena forrajera en verde,18,,,,,,,,
63,2004,Cacahuate,125,,,,,,,,
64,2004,Cebada grano,75,,,,,,,,
65,2004,Chile verde,20,,,,,,,,
66,2004,Frijol,3434.4,,,,,,,,
67,2004,Maiz forrajero en verde,60,,,,,,,,
68,2004,Maiz grano,14213,,,,,,,,
69,2004,Melon,19,,,,,,,,
70,2004,Sorgo grano,630,,,,,,,,
71,2004,Tomate rojo (jitomate),3,,,,,,,,
72,2004,Trigo grano,2453,,,,,,,,
73,2005,Ajonjoli,1791,,,,,,,,
74,2005,Arroz palay,330,,,,,,,,
75,2005,Cacahuate,43.5,,,,,,,,
76,2005,Cebada grano,163,,,,,,,,
77,2005,Chile seco,38.5,,,,,,,,
78,2005,Chile verde,150.75,,,,,,,,
79,2005,Frijol,2668.78,,,,,,,,
80,2005,Jamaica,1,,,,,,,,
81,2005,Maiz grano,18895,,,,,,,,
82,2005,Melon,94,,,,,,,,
83,2005,Sandia,33,,,,,,,,
84,2005,Sorgo grano,1813,,,,,,,,
85,2005,Tomate rojo (jitomate),6,,,,,,,,
86,2005,Trigo grano,2952,,,,,,,,
87,2006,Ajonjoli,1286,,,,,,,,
88,2006,Cacahuate,33,,,,,,,,
89,2006,Cebada grano,140,,,,,,,,
90,2006,Chicharo,4,,,,,,,,
91,2006,Chile seco,428,,,,,,,,
92,2006,Chile verde,164.5,,,,,,,,
93,2006,Frijol,5254.25,,,,,,,,
94,2006,Garbanzo grano,17,,,,,,,,
95,2006,Haba grano,4,,,,,,,,
96,2006,Maiz grano,32097.62,,,,,,,,
97,2006,Melon,568,,,,,,,,
98,2006,Sandia,230,,,,,,,,
99,2006,Sorgo forrajero en verde,60,,,,,,,,
100,2006,Sorgo grano,778,,,,,,,,
101,2006,Tomate rojo (jitomate),32,,,,,,,,
102,2006,Trigo grano,3622.25,,,,,,,,
103,2007,Ajonjoli,979.5,,,,,,,,
104,2007,Cacahuate,71,,,,,,,,
105,2007,Chile seco,168,,,,,,,,
106,2007,Frijol,547.86,,,,,,,,
107,2007,Maiz grano,34361.5,,,,,,,,
108,2007,Melon,6,,,,,,,,
109,2007,Sandia,103,,,,,,,,
110,2007,Sorgo grano,3664.5,,,,,,,,
111,2007,Tomate rojo (jitomate),39,,,,,,,,
112,2007,Trigo grano,467,,,,,,,,
113,2008,Ajonjoli,73,,,,,,,,
114,2008,Garbanzo grano,530,,,,,,,,
115,2008,Maiz grano,68543.5,,,,,,,,
116,2008,Melon,25,,,,,,,,
117,2008,Sandia,5,,,,,,,,
118,2008,Sorgo grano,17,,,,,,,,
119,2009,Ajonjoli,6,,,,,,,,
120,2009,Cebada grano,93.2,,,,,,,,
121,2009,Frijol,6014.3,,,,,,,,
122,2009,Maiz grano,35412,,,,,,,,
123,2009,Trigo grano,4355,,,,,,,,
124,2010,Ajonjoli,1701,,,,,,,,
125,2010,Arroz palay,190,,,,,,,,
126,2010,Cacahuate,70,,,,,,,,
127,2010,Cebada grano,58,,,,,,,,
128,2010,Chile verde,12,,,,,,,,
129,2010,Frijol,5961,,,,,,,,
130,2010,Maiz grano,41929,,,,,,,,
131,2010,Sandia,67,,,,,,,,
132,2010,Sorgo grano,3787,,,,,,,,
133,2010,Tomate rojo (jitomate),9,,,,,,,,
134,2010,Trigo grano,4573,,,,,,,,
135,2011,Ajonjoli,688,,,,,,,,
136,2011,Chile verde,1,,,,,,,,
137,2011,Frijol,589.5,,,,,,,,
138,2011,Maiz grano,43851,,,,,,,,
139,2011,Sandia,51,,,,,,,,
140,2012,Ajonjoli,130,,,,,,,,
141,2012,Frijol,78,,,,,,,,
142,2012,Maiz grano,34838.5,,,,,,,,
143,2012,Sorgo grano,87,,,,,,,,
144,2013,Ajonjoli,1281,,,,,,,,
145,2013,Cacahuate,221,,,,,,,,
146,2013,Chile seco,48.5,,,,,,,,
147,2013,Frijol,2242.25,,,,,,,,
148,2013,Jamaica,3,,,,,,,,
149,2013,Maiz grano,52231.3,,,,,,,,
150,2013,Sandia,3,,,,,,,,
151,2013,Sorgo forrajero en verde,4,,,,,,,,
152,2013,Sorgo grano,200.5,,,,,,,,
153,2013,Trigo grano,5630.5,,,,,,,,
154,2014,Ajonjoli,450,,,,,,,,
155,2014,Frijol,410.75,,,,,,,,
156,2014,Jamaica,303,,,,,,,,
157,2014,Maiz grano,74690.47,,,,,,,,
158,2014,Sorgo grano,800,,,,,,,,
159,2014,Trigo grano,109,,,,,,,,
160,2015,Ajonjoli,372,,,,,,,,
161,2015,Cebada grano,17.5,,,,,,,,
162,2015,Chile seco,4,,,,,,,,
163,2015,Frijol,248.75,,,,,,,,
164,2015,Maiz grano,92181,,,,,,,,
165,2015,Sorgo grano,14411,,,,,,,,
166,2015,Trigo grano,796.5,,,,,,,,
167,2016,Frijol,69,,,,,,,,
168,2016,Maiz grano,90333.73,,,,,,,,
169,2017,Ajonjoli,75,,,,,,,,
170,2017,Cafe cereza,3085.08,,,,,,,,
171,2017,Cebada grano,13.25,,,,,,,,
172,2017,Chile verde,38.5,,,,,,,,
173,2017,Frijol,2731.15,,,,,,,,
174,2017,Maiz grano,86389.25,,,,,,,,
175,2017,Papa,0.5,,,,,,,,
176,2017,Sorgo grano,786,,,,,,,,
177,2017,Tomate rojo (jitomate),1,,,,,,,,
178,2018,Ajonjoli,45,,,,,,,,
179,2018,Frijol,159,,,,,,,,
180,2018,Maiz grano,138445.55,,,,,,,,
181,2018,Sorgo grano,274,,,,,,,,
182,2018,Trigo grano,670,,,,,,,,
183,2019,Ajonjoli,115,,,,,,,,
184,2019,Cacahuate,51,,,,,,,,
185,2019,Frijol,215,,,,,,,,
186,2019,Maiz grano,153256.5,,,,,,,,
187,2019,Trigo grano,265,,,,,,,,
